NRIC,year,yearly_income,tax_paid,house_rebate,child_rebate,education_rebate
G0231165N,2017,40000,400,600,500,1600
G1313453B,2017,210000,9900,1400,200,2500
G3949886J,2017,220000,3200,0,600,4600
G5426931L,2017,470000,300,2100,650,2900
G2545794K,2017,920000,9200,1400,550,5400
G4276542L,2017,180000,4500,1800,350,5300
G3631101A,2017,870000,400,1000,50,3500
G5075847K,2017,620000,3400,1200,1100,3400
G2473830A,2017,370000,4200,1900,300,5500
G2270783K,2017,850000,4000,300,800,2100
G1707244L,2017,430000,9900,100,700,2400
G944818L,2017,520000,5900,900,50,2400
G4043823B,2017,270000,3800,1900,1050,4200
G5719219L,2017,300000,1100,1100,250,0
G2320006K,2017,330000,5700,2300,650,4300
G3870869K,2017,980000,3600,1900,550,3800
G1412296X,2017,480000,7500,2000,350,400
G3892942X,2017,990000,7700,1900,0,1100
G5732731B,2017,810000,3300,2100,1100,2800
G1310326L,2017,750000,3700,1900,300,100
G2245764B,2017,1000000,5200,700,550,4200
G4430368L,2017,850000,9000,1600,1150,2700
G4138950K,2017,820000,1300,1500,250,4600
G1716730A,2017,80000,7700,1600,600,3800
G3876410X,2017,850000,2800,1100,700,4900
G3147944J,2017,550000,2900,0,650,100
G5424650B,2017,660000,7900,1900,950,3800
G5135637L,2017,970000,6100,1700,1000,1000
G346003A,2017,1000000,9700,600,300,2700
G401131J,2017,450000,5600,1300,100,2400
G2028978J,2017,180000,8200,1500,1150,2300
G657780L,2017,660000,6100,100,100,5400
G4095420B,2017,610000,2000,1100,850,4600
G4883714B,2017,880000,1500,600,1200,3700
G2628497L,2017,520000,6100,2100,700,5000
G4566797L,2017,980000,1200,1500,350,1700
G3711472L,2017,80000,6200,1900,900,2500
G883474K,2017,640000,7100,1000,200,5400
G3140663A,2017,1000000,3000,2000,850,5200
G1703372K,2017,80000,5300,600,450,1600
G5911904L,2017,230000,1700,2000,650,2400
G2339872B,2017,680000,1300,2100,900,5100
G4610833L,2017,770000,4600,500,750,3600
G3985913B,2017,310000,5200,2100,350,2000
G1482562J,2017,450000,4900,500,100,1200
G695286B,2017,900000,3200,500,900,4800
G4185211L,2017,370000,7200,800,500,1200
G3624412J,2017,140000,2100,2400,700,5500
G2501262B,2017,520000,300,900,1250,2300
G3980030X,2017,480000,8000,1300,500,4900
G5836988X,2017,620000,2200,700,0,0
G4171006X,2017,100000,3500,1700,50,3300
G3704367J,2017,320000,900,1800,250,3100
G4827770L,2017,460000,1400,2200,400,5100
G4123007B,2017,460000,5400,1800,200,4800
G3806153A,2017,340000,1700,2100,950,1200
G383720L,2017,550000,1900,1500,850,3600
G5848510L,2017,510000,1700,2100,1150,2700
G2056092L,2017,900000,800,2100,1000,800
G5253431K,2017,860000,8800,1300,750,0
G3997288L,2017,110000,1300,200,250,4900
G4380348J,2017,570000,1400,1500,800,3000
G4677015K,2017,810000,8100,2000,1200,1800
G4017000L,2017,840000,9800,700,50,900
G636102L,2017,220000,9600,1000,1200,3300
G5285964A,2017,140000,1600,2100,550,5400
G3771894X,2017,70000,4500,2500,400,2000
G763917K,2017,470000,3000,400,300,3400
G3157657A,2017,70000,6300,1500,750,800
G2940189B,2017,630000,4200,900,850,300
G838096A,2017,870000,9100,1600,1250,2600
G2045092K,2017,630000,2900,700,800,0
G5141015L,2017,590000,5500,700,750,1200
G831308X,2017,90000,1800,0,500,2600
G1423705L,2017,260000,6500,100,800,600
G4650621J,2017,920000,9400,2400,800,2000
G4162273L,2017,380000,800,400,1050,1100
G4307395K,2017,350000,6300,2400,650,1600
G3960880L,2017,900000,6500,100,450,1400
G4396273A,2017,700000,8100,2100,400,1700
G5267399A,2017,290000,4000,1100,750,5500
G5495894X,2017,800000,3100,2100,750,4800
